x,y
1.755793503941369806e+02,1.495646735438588166e+02
1.904706203287109076e+02,1.629157064528009187e+02
2.053618902632848346e+02,1.762667393617430207e+02
2.202531601978587616e+02,1.896177722706851227e+02
2.351444301324326887e+02,2.029688051796272248e+02
2.500357000670066157e+02,2.163198380885693268e+02
2.649269700015805142e+02,2.296708709975114289e+02
2.798182399361544412e+02,2.430219039064535309e+02
2.947095098707283682e+02,2.563729368153956329e+02
3.096007798053022952e+02,2.697239697243377350e+02
3.244920497398762222e+02,2.830750026332798370e+02
3.393833196744501493e+02,2.964260355422219391e+02
3.542745896090240763e+02,3.097770684511640411e+02
3.691658595435980033e+02,3.231281013601061431e+02
3.840571294781719303e+02,3.364791342690482452e+02
3.989483994127458573e+02,3.498301671779903472e+02
4.138396693473197843e+02,3.631812000869324493e+02
4.287309392818937113e+02,3.765322329958745513e+02
4.436222092164676383e+02,3.898832659048166533e+02
4.585134791510415653e+02,4.032342988137587554e+02
4.734047490856154923e+02,4.165853317227008574e+02
4.882960190201894193e+02,4.299363646316429595e+02
5.031872889547633463e+02,4.432873975405850615e+02
5.180785588893372733e+02,4.566384304495271635e+02
5.329698288239111434e+02,4.699894633584692656e+02
5.478610987584850136e+02,4.833404962674113676e+02
5.627523686930588838e+02,4.966915291763534697e+02
5.776436386276327539e+02,5.100425620852955717e+02
5.925349085622066241e+02,5.233935949942376737e+02
6.074261784967804942e+02,5.367446279031797758e+02
6.223174484313543644e+02,5.500956608121218778e+02
6.372087183659282346e+02,5.634466937210639799e+02
6.520999883005021047e+02,5.767977266300060819e+02
6.669912582350759749e+02,5.901487595389481839e+02
6.818825281696499587e+02,6.034997924478902860e+02
6.967737981042238289e+02,6.168508253568323880e+02
7.116650680387976990e+02,6.302018582657744901e+02
7.265563379733715692e+02,6.435528911747165921e+02
7.414476079079454394e+02,6.569039240836586941e+02
7.563388778425194232e+02,6.702549569926007962e+02
7.712301477770932934e+02,6.836059899015428982e+02
7.861214177116672772e+02,6.969570228104850003e+02
8.010126876462412611e+02,7.103080557194271023e+02
8.159039575808151312e+02,7.236590886283692043e+02
8.307952275153891151e+02,7.370101215373113064e+02
8.456864974499630989e+02,7.503611544462534084e+02
8.605777673845370828e+02,7.637121873551955105e+02
8.754690373191110666e+02,7.770632202641376125e+02
8.903603072536850505e+02,7.904142531730797145e+02
9.052515771882590343e+02,8.037652860820218166e+02
9.201428471228329045e+02,8.171163189909639186e+02
9.350341170574067746e+02,8.304673518999060207e+02
9.499253869919807585e+02,8.438183848088481227e+02
9.648166569265546286e+02,8.571694177177902247e+02
9.797079268611284988e+02,8.705204506267323268e+02
9.945991967957024826e+02,8.838714835356744288e+02
1.009490466730276466e+03,8.972225164446165309e+02
1.024381736664850450e+03,9.105735493535586329e+02
1.039273006599424434e+03,9.239245822625007349e+02
1.054164276533998418e+03,9.372756151714428370e+02
1.069055546468572402e+03,9.506266480803849390e+02
1.083946816403146386e+03,9.639776809893270411e+02
1.098838086337720370e+03,9.773287138982691431e+02
1.113729356272294353e+03,9.906797468072112451e+02
1.128620626206868337e+03,1.004030779716153347e+03
1.143511896141442321e+03,1.017381812625095449e+03
1.158403166076016305e+03,1.030732845534037551e+03
1.173294436010590289e+03,1.044083878442979540e+03
1.188185705945164273e+03,1.057434911351921528e+03
1.203076975879738256e+03,1.070785944260863516e+03
1.217968245814312240e+03,1.084136977169805505e+03
1.232859515748886224e+03,1.097488010078747493e+03
1.247750785683460208e+03,1.110839042987689481e+03
1.262642055618034192e+03,1.124190075896631697e+03
1.277533325552608176e+03,1.137541108805573913e+03
1.292424595487182160e+03,1.150892141714515901e+03
1.307315865421756143e+03,1.164243174623458117e+03
1.322207135356330127e+03,1.177594207532400333e+03
1.337098405290904111e+03,1.190945240441342548e+03
1.351989675225478095e+03,1.204296273350284537e+03
1.366880945160052079e+03,1.217647306259226752e+03
1.381772215094626063e+03,1.230998339168168968e+03
1.396663485029200046e+03,1.244349372077111184e+03
1.411554754963774030e+03,1.257700404986053400e+03
1.426446024898348014e+03,1.271051437894995615e+03
1.441337294832921998e+03,1.284402470803937831e+03
1.456228564767495982e+03,1.297753503712880047e+03
1.471119834702069966e+03,1.311104536621822035e+03
1.486011104636643950e+03,1.324455569530764024e+03
1.500902374571217933e+03,1.337806602439706239e+03
1.515793644505791917e+03,1.351157635348648455e+03
1.530684914440365901e+03,1.364508668257590671e+03
1.545576184374939885e+03,1.377859701166532886e+03
1.560467454309513869e+03,1.391210734075475102e+03
1.575358724244087853e+03,1.404561766984417318e+03
1.590249994178661836e+03,1.417912799893359306e+03
1.605141264113235820e+03,1.431263832802301522e+03
1.620032534047809804e+03,1.444614865711243738e+03
1.634923803982383788e+03,1.457965898620185726e+03
1.649815073916957772e+03,1.471316931529127942e+03
1.664706343851531756e+03,1.484667964438070157e+03
1.679597613786105740e+03,1.498018997347012373e+03
1.694488883720679723e+03,1.511370030255954362e+03
1.709380153655253707e+03,1.524721063164896577e+03
1.724271423589827691e+03,1.538072096073838793e+03
1.739162693524401675e+03,1.551423128982781009e+03
1.754053963458975659e+03,1.564774161891722997e+03
1.768945233393549643e+03,1.578125194800665213e+03
1.783836503328123626e+03,1.591476227709607429e+03
1.798727773262697610e+03,1.604827260618549644e+03
1.813619043197271594e+03,1.618178293527491860e+03
1.828510313131845578e+03,1.631529326436433848e+03
1.843401583066419562e+03,1.644880359345376064e+03
1.828432908077900947e+03,1.631616168111527713e+03
1.813464233089382333e+03,1.618351976877679363e+03
1.798495558100863718e+03,1.605087785643831012e+03
1.783526883112345104e+03,1.591823594409982661e+03
1.768558208123826489e+03,1.578559403176134310e+03
1.753589533135307875e+03,1.565295211942285960e+03
1.738620858146789260e+03,1.552031020708437609e+03
1.723652183158270645e+03,1.538766829474589258e+03
1.708683508169752031e+03,1.525502638240740907e+03
1.693714833181233416e+03,1.512238447006892557e+03
1.678746158192714802e+03,1.498974255773044206e+03
1.663777483204196187e+03,1.485710064539195855e+03
1.648808808215677573e+03,1.472445873305347504e+03
1.633840133227158958e+03,1.459181682071499154e+03
1.618871458238640344e+03,1.445917490837650803e+03
1.603902783250121729e+03,1.432653299603802452e+03
1.588934108261603114e+03,1.419389108369954101e+03
1.573965433273084500e+03,1.406124917136105751e+03
1.558996758284565885e+03,1.392860725902257400e+03
1.544028083296047271e+03,1.379596534668409049e+03
1.529059408307528656e+03,1.366332343434560698e+03
1.514090733319010042e+03,1.353068152200712348e+03
1.499122058330491427e+03,1.339803960966863997e+03
1.484153383341972813e+03,1.326539769733015646e+03
1.469184708353454198e+03,1.313275578499167295e+03
1.454216033364935583e+03,1.300011387265318945e+03
1.439247358376416969e+03,1.286747196031470594e+03
1.424278683387898354e+03,1.273483004797622243e+03
1.409310008399379740e+03,1.260218813563773892e+03
1.394341333410861125e+03,1.246954622329925542e+03
1.379372658422342511e+03,1.233690431096077191e+03
1.364403983433823896e+03,1.220426239862228840e+03
1.349435308445305282e+03,1.207162048628380489e+03
1.334466633456786667e+03,1.193897857394532139e+03
1.319497958468268052e+03,1.180633666160683788e+03
1.304529283479749438e+03,1.167369474926835437e+03
1.289560608491230823e+03,1.154105283692987086e+03
1.274591933502712209e+03,1.140841092459138736e+03
1.259623258514193594e+03,1.127576901225290385e+03
1.244654583525674980e+03,1.114312709991442262e+03
1.229685908537156365e+03,1.101048518757594138e+03
1.214717233548637751e+03,1.087784327523745787e+03
1.199748558560119136e+03,1.074520136289897437e+03
1.184779883571600521e+03,1.061255945056049313e+03
1.169811208583081907e+03,1.047991753822201190e+03
1.154842533594563292e+03,1.034727562588352839e+03
1.139873858606044678e+03,1.021463371354504602e+03
1.124905183617526063e+03,1.008199180120656365e+03
1.109936508629007449e+03,9.949349888868081280e+02
1.094967833640488834e+03,9.816707976529598909e+02
1.079999158651970220e+03,9.684066064191116538e+02
1.065030483663451605e+03,9.551424151852634168e+02
1.050061808674932990e+03,9.418782239514151797e+02
1.035093133686414376e+03,9.286140327175669427e+02
1.020124458697895761e+03,9.153498414837187056e+02
1.005155783709377147e+03,9.020856502498704685e+02
9.901871087208585323e+02,8.888214590160222315e+02
9.752184337323399177e+02,8.755572677821739944e+02
9.602497587438213031e+02,8.622930765483257574e+02
9.452810837553026886e+02,8.490288853144775203e+02
9.303124087667840740e+02,8.357646940806292832e+02
9.153437337782654595e+02,8.225005028467810462e+02
9.003750587897468449e+02,8.092363116129328091e+02
8.854063838012282304e+02,7.959721203790845721e+02
8.704377088127096158e+02,7.827079291452363350e+02
8.554690338241910013e+02,7.694437379113880979e+02
8.405003588356723867e+02,7.561795466775398609e+02
8.255316838471537721e+02,7.429153554436916238e+02
8.105630088586351576e+02,7.296511642098433867e+02
7.955943338701165430e+02,7.163869729759951497e+02
7.806256588815979285e+02,7.031227817421469126e+02
7.656569838930793139e+02,6.898585905082986756e+02
7.506883089045606994e+02,6.765943992744504385e+02
7.357196339160420848e+02,6.633302080406022014e+02
7.207509589275234703e+02,6.500660168067539644e+02
7.057822839390048557e+02,6.368018255729057273e+02
6.908136089504862412e+02,6.235376343390574903e+02
6.758449339619676266e+02,6.102734431052092532e+02
6.608762589734490120e+02,5.970092518713610161e+02
6.459075839849303975e+02,5.837450606375127791e+02
