x,y
1.475625129371611877e+02,1.703619860515822495e+02
1.673454400566456854e+02,1.733006583002627963e+02
1.871283671761301832e+02,1.762393305489433430e+02
2.069112942956146810e+02,1.791780027976238898e+02
2.266942214150991788e+02,1.821166750463044082e+02
2.464771485345836766e+02,1.850553472949849265e+02
2.662600756540681459e+02,1.879940195436654733e+02
2.860430027735526437e+02,1.909326917923460201e+02
3.058259298930371415e+02,1.938713640410265384e+02
3.256088570125216393e+02,1.968100362897070568e+02
3.453917841320061370e+02,1.997487085383876035e+02
3.651747112514906348e+02,2.026873807870681503e+02
3.849576383709751326e+02,2.056260530357486687e+02
4.047405654904596304e+02,2.085647252844292154e+02
4.245234926099441282e+02,2.115033975331097338e+02
4.443064197294286259e+02,2.144420697817902806e+02
4.640893468489131237e+02,2.173807420304707989e+02
4.838722739683976215e+02,2.203194142791513173e+02
5.036552010878821193e+02,2.232580865278318640e+02
5.234381282073666171e+02,2.261967587765124108e+02
5.432210553268511148e+02,2.291354310251929576e+02
5.630039824463356126e+02,2.320741032738734759e+02
5.827869095658201104e+02,2.350127755225540227e+02
6.025698366853046082e+02,2.379514477712345411e+02
6.223527638047891060e+02,2.408901200199150594e+02
6.421356909242736037e+02,2.438287922685956062e+02
6.619186180437581015e+02,2.467674645172761529e+02
6.817015451632425993e+02,2.497061367659566713e+02
7.014844722827270971e+02,2.526448090146372181e+02
7.212673994022115949e+02,2.555834812633177648e+02
7.410503265216960926e+02,2.585221535119982832e+02
7.608332536411805904e+02,2.614608257606788015e+02
7.806161807606650882e+02,2.643994980093593199e+02
8.003991078801495860e+02,2.673381702580398382e+02
8.201820349996340838e+02,2.702768425067203566e+02
8.399649621191185815e+02,2.732155147554008749e+02
8.597478892386030793e+02,2.761541870040813933e+02
8.795308163580875771e+02,2.790928592527619116e+02
8.993137434775720749e+02,2.820315315014424300e+02
9.190966705970565727e+02,2.849702037501229483e+02
9.388795977165410704e+02,2.879088759988034667e+02
9.586625248360255682e+02,2.908475482474839851e+02
9.784454519555100660e+02,2.937862204961645034e+02
9.982283790749945638e+02,2.967248927448450218e+02
1.018011306194479062e+03,2.996635649935255401e+02
1.037794233313963559e+03,3.026022372422060585e+02
1.057577160433447943e+03,3.055409094908865768e+02
1.077360087552932328e+03,3.084795817395670952e+02
1.097143014672416712e+03,3.114182539882476135e+02
1.116925941791901096e+03,3.143569262369281319e+02
1.136708868911385480e+03,3.172955984856086502e+02
1.156491796030869864e+03,3.202342707342891686e+02
1.176274723150354248e+03,3.231729429829696869e+02
1.196057650269838632e+03,3.261116152316502621e+02
1.215840577389323016e+03,3.290502874803307805e+02
1.235623504508807400e+03,3.319889597290112988e+02
1.255406431628291784e+03,3.349276319776918172e+02
1.275189358747776168e+03,3.378663042263723355e+02
1.294972285867260553e+03,3.408049764750529107e+02
1.314755212986744937e+03,3.437436487237334291e+02
1.334538140106229321e+03,3.466823209724139474e+02
1.354321067225713705e+03,3.496209932210944658e+02
1.374103994345198089e+03,3.525596654697750409e+02
1.393886921464682473e+03,3.554983377184555593e+02
1.374265803728981609e+03,3.516238391958375473e+02
1.354644685993280746e+03,3.477493406732195353e+02
1.335023568257579882e+03,3.438748421506015234e+02
1.315402450521879018e+03,3.400003436279835114e+02
1.295781332786178154e+03,3.361258451053654994e+02
1.276160215050477291e+03,3.322513465827474874e+02
1.256539097314776427e+03,3.283768480601294755e+02
1.236917979579075563e+03,3.245023495375114635e+02
1.217296861843374700e+03,3.206278510148934515e+02
1.197675744107673836e+03,3.167533524922754395e+02
1.178054626371972972e+03,3.128788539696574276e+02
1.158433508636272109e+03,3.090043554470394156e+02
1.138812390900571245e+03,3.051298569244214036e+02
1.119191273164870381e+03,3.012553584018033916e+02
1.099570155429169517e+03,2.973808598791853797e+02
1.079949037693468654e+03,2.935063613565673677e+02
1.060327919957767790e+03,2.896318628339493557e+02
1.040706802222066926e+03,2.857573643113313437e+02
1.021085684486366176e+03,2.818828657887133318e+02
1.001464566750665426e+03,2.780083672660953198e+02
9.818434490149646763e+02,2.741338687434773078e+02
9.622223312792639263e+02,2.702593702208592958e+02
9.426012135435631762e+02,2.663848716982412839e+02
9.229800958078624262e+02,2.625103731756232719e+02
9.033589780721616762e+02,2.586358746530052599e+02
8.837378603364609262e+02,2.547613761303872764e+02
8.641167426007601762e+02,2.508868776077692928e+02
8.444956248650594262e+02,2.470123790851513093e+02
8.248745071293586761e+02,2.431378805625333257e+02
8.052533893936579261e+02,2.392633820399153421e+02
7.856322716579571761e+02,2.353888835172973586e+02
7.660111539222564261e+02,2.315143849946793750e+02
7.463900361865556761e+02,2.276398864720613915e+02
7.267689184508549260e+02,2.237653879494434079e+02
7.071478007151541760e+02,2.198908894268254244e+02
6.875266829794534260e+02,2.160163909042074408e+02
6.679055652437526760e+02,2.121418923815894573e+02
6.482844475080519260e+02,2.082673938589714737e+02
6.286633297723511760e+02,2.043928953363534902e+02
6.090422120366504259e+02,2.005183968137355066e+02
5.894210943009496759e+02,1.966438982911175231e+02
5.697999765652489259e+02,1.927693997684995395e+02
5.501788588295481759e+02,1.888949012458815560e+02
5.305577410938474259e+02,1.850204027232635724e+02
5.109366233581466759e+02,1.811459042006455888e+02
4.913155056224459258e+02,1.772714056780276053e+02
4.716943878867451758e+02,1.733969071554096217e+02
4.520732701510444258e+02,1.695224086327916382e+02
4.324521524153436758e+02,1.656479101101736546e+02
4.128310346796429258e+02,1.617734115875556711e+02
3.932099169439421757e+02,1.578989130649376875e+02
3.735887992082414257e+02,1.540244145423197040e+02
3.539676814725406757e+02,1.501499160197017204e+02
3.343465637368399257e+02,1.462754174970837369e+02
3.147254460011391757e+02,1.424009189744657533e+02
2.951043282654384257e+02,1.385264204518477698e+02
2.754832105297376756e+02,1.346519219292297862e+02
2.558620927940369256e+02,1.307774234066118026e+02
2.362409750583361756e+02,1.269029248839938191e+02
2.166198573226354256e+02,1.230284263613758355e+02
1.969987395869346756e+02,1.191539278387578520e+02
