x,y
1.060893164758867897e+02,6.526791761559917404e+01
1.203220523308093277e+02,7.931886883194044913e+01
1.345547881857318657e+02,9.336982004828172421e+01
1.487875240406544037e+02,1.074207712646229993e+02
1.630202598955769417e+02,1.214717224809642744e+02
1.772529957504994798e+02,1.355226736973055495e+02
1.914857316054220178e+02,1.495736249136468246e+02
2.057184674603445558e+02,1.636245761299880996e+02
2.199512033152670938e+02,1.776755273463293747e+02
2.341839391701896318e+02,1.917264785626706498e+02
2.484166750251121698e+02,2.057774297790119249e+02
2.626494108800346794e+02,2.198283809953532000e+02
2.768821467349572458e+02,2.338793322116944751e+02
2.911148825898797554e+02,2.479302834280357501e+02
3.053476184448022650e+02,2.619812346443770252e+02
3.195803542997248314e+02,2.760321858607183003e+02
3.338130901546473410e+02,2.900831370770595754e+02
3.480458260095698506e+02,3.041340882934008505e+02
3.622785618644923602e+02,3.181850395097421256e+02
3.765112977194148698e+02,3.322359907260834007e+02
3.907440335743373794e+02,3.462869419424246757e+02
4.049767694292598890e+02,3.603378931587659508e+02
4.192095052841824554e+02,3.743888443751072259e+02
4.334422411391050218e+02,3.884397955914485010e+02
4.476749769940275883e+02,4.024907468077897761e+02
4.619077128489501547e+02,4.165416980241310512e+02
4.761404487038726643e+02,4.305926492404723263e+02
4.903731845587951739e+02,4.446436004568136013e+02
5.046059204137177403e+02,4.586945516731548764e+02
5.188386562686403067e+02,4.727455028894961515e+02
5.330713921235628732e+02,4.867964541058374266e+02
5.473041279784854396e+02,5.008474053221787017e+02
5.615368638334080060e+02,5.148983565385200336e+02
5.757695996883305725e+02,5.289493077548613655e+02
5.900023355432531389e+02,5.430002589712026975e+02
6.042350713981757053e+02,5.570512101875440294e+02
6.184678072530982718e+02,5.711021614038853613e+02
6.327005431080208382e+02,5.851531126202266933e+02
6.469332789629434046e+02,5.992040638365680252e+02
6.611660148178659711e+02,6.132550150529093571e+02
6.753987506727885375e+02,6.273059662692506890e+02
6.896314865277111039e+02,6.413569174855920210e+02
7.038642223826336703e+02,6.554078687019332392e+02
7.180969582375562368e+02,6.694588199182745711e+02
7.323296940924788032e+02,6.835097711346159031e+02
7.465624299474013696e+02,6.975607223509572350e+02
7.607951658023239361e+02,7.116116735672984532e+02
7.750279016572465025e+02,7.256626247836397852e+02
7.892606375121690689e+02,7.397135759999811171e+02
8.034933733670916354e+02,7.537645272163224490e+02
8.177261092220142018e+02,7.678154784326636673e+02
8.319588450769367682e+02,7.818664296490048855e+02
8.461915809318593347e+02,7.959173808653462174e+02
8.604243167867819011e+02,8.099683320816875494e+02
8.746570526417044675e+02,8.240192832980287676e+02
8.888897884966270340e+02,8.380702345143700995e+02
9.031225243515496004e+02,8.521211857307114315e+02
9.173552602064721668e+02,8.661721369470527634e+02
9.315879960613947333e+02,8.802230881633940953e+02
9.458207319163172997e+02,8.942740393797354272e+02
9.600534677712398661e+02,9.083249905960767592e+02
9.742862036261624326e+02,9.223759418124179774e+02
9.885189394810849990e+02,9.364268930287593093e+02
1.002751675336007565e+03,9.504778442451005276e+02
1.016984411190930132e+03,9.645287954614418595e+02
1.031217147045852698e+03,9.785797466777831914e+02
1.045449882900775265e+03,9.926306978941245234e+02
1.059682618755697831e+03,1.006681649110465742e+03
1.073915354610620398e+03,1.020732600326807074e+03
1.088148090465542964e+03,1.034783551543148405e+03
1.102380826320465530e+03,1.048834502759489624e+03
1.116613562175388097e+03,1.062885453975830842e+03
1.130846298030310663e+03,1.076936405192172060e+03
1.145079033885233230e+03,1.090987356408513278e+03
1.159311769740155796e+03,1.105038307624854497e+03
1.173544505595078363e+03,1.119089258841195715e+03
1.159039268749704661e+03,1.105319796104414309e+03
1.144534031904330959e+03,1.091550333367632902e+03
1.130028795058957257e+03,1.077780870630851496e+03
1.115523558213583556e+03,1.064011407894070089e+03
1.101018321368209854e+03,1.050241945157288683e+03
1.086513084522836152e+03,1.036472482420507276e+03
1.072007847677462451e+03,1.022703019683725870e+03
1.057502610832088749e+03,1.008933556946944464e+03
1.042997373986715047e+03,9.951640942101630571e+02
1.028492137141341345e+03,9.813946314733816507e+02
1.013986900295967644e+03,9.676251687366002443e+02
9.994816634505939419e+02,9.538557059998188379e+02
9.849764266052202402e+02,9.400862432630374315e+02
9.704711897598465384e+02,9.263167805262560250e+02
9.559659529144728367e+02,9.125473177894746186e+02
9.414607160690991350e+02,8.987778550526932122e+02
9.269554792237254333e+02,8.850083923159118058e+02
9.124502423783517315e+02,8.712389295791303994e+02
8.979450055329780298e+02,8.574694668423489929e+02
8.834397686876043281e+02,8.437000041055675865e+02
8.689345318422306264e+02,8.299305413687861801e+02
8.544292949968569246e+02,8.161610786320047737e+02
8.399240581514832229e+02,8.023916158952233673e+02
8.254188213061095212e+02,7.886221531584419608e+02
8.109135844607358194e+02,7.748526904216605544e+02
7.964083476153621177e+02,7.610832276848791480e+02
7.819031107699884160e+02,7.473137649480977416e+02
7.673978739246147143e+02,7.335443022113163352e+02
7.528926370792410125e+02,7.197748394745349287e+02
7.383874002338673108e+02,7.060053767377535223e+02
7.238821633884936091e+02,6.922359140009721159e+02
7.093769265431199074e+02,6.784664512641905958e+02
6.948716896977462056e+02,6.646969885274090757e+02
6.803664528523725039e+02,6.509275257906276693e+02
6.658612160069988022e+02,6.371580630538461492e+02
6.513559791616251005e+02,6.233886003170646291e+02
6.368507423162513987e+02,6.096191375802832226e+02
6.223455054708776970e+02,5.958496748435017025e+02
6.078402686255039953e+02,5.820802121067201824e+02
5.933350317801302936e+02,5.683107493699387760e+02
5.788297949347565918e+02,5.545412866331572559e+02
5.643245580893828901e+02,5.407718238963757358e+02
5.498193212440091884e+02,5.270023611595943294e+02
5.353140843986354867e+02,5.132328984228129229e+02
5.208088475532617849e+02,4.994634356860314597e+02
5.063036107078880832e+02,4.856939729492499964e+02
4.917983738625143815e+02,4.719245102124685332e+02
4.772931370171406797e+02,4.581550474756870699e+02
4.627879001717669780e+02,4.443855847389056066e+02
4.482826633263932763e+02,4.306161220021241434e+02
4.337774264810195746e+02,4.168466592653426801e+02
4.192721896356458728e+02,4.030771965285612168e+02
4.047669527902721711e+02,3.893077337917797536e+02
3.902617159448984694e+02,3.755382710549982903e+02
3.757564790995247677e+02,3.617688083182168270e+02
3.612512422541510659e+02,3.479993455814353638e+02
3.467460054087773642e+02,3.342298828446539005e+02
3.322407685634036625e+02,3.204604201078724373e+02
3.177355317180299608e+02,3.066909573710909740e+02
3.032302948726562590e+02,2.929214946343095107e+02
2.887250580272825573e+02,2.791520318975280475e+02
2.742198211819088556e+02,2.653825691607465842e+02
2.597145843365351539e+02,2.516131064239651209e+02
2.452093474911614521e+02,2.378436436871836577e+02
2.307041106457877504e+02,2.240741809504021944e+02
2.161988738004140487e+02,2.103047182136207311e+02
2.016936369550403469e+02,1.965352554768392679e+02
1.871884001096666452e+02,1.827657927400578046e+02
1.726831632642929435e+02,1.689963300032763414e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
1.581779264189192418e+02,1.552268672664948781e+02
6.061484625455311459e+01,1.247297244569122228e+02
7.549121787073235623e+01,1.380973557929918059e+02
9.036758948691159787e+01,1.514649871290713747e+02
1.052439611030908395e+02,1.648326184651509436e+02
1.201203327192700812e+02,1.782002498012305125e+02
1.349967043354493228e+02,1.915678811373100814e+02
1.498730759516285502e+02,2.049355124733896503e+02
1.647494475678077777e+02,2.183031438094692191e+02
1.796258191839870051e+02,2.316707751455487880e+02
1.945021908001662609e+02,2.450384064816283569e+02
2.093785624163455168e+02,2.584060378177079542e+02
2.242549340325247442e+02,2.717736691537875231e+02
2.391313056487039717e+02,2.851413004898670920e+02
2.540076772648832275e+02,2.985089318259466609e+02
2.688840488810624834e+02,3.118765631620262297e+02
2.837604204972417392e+02,3.252441944981057986e+02
2.986367921134209951e+02,3.386118258341853675e+02
3.135131637296002509e+02,3.519794571702649364e+02
3.283895353457795068e+02,3.653470885063445053e+02
3.432659069619587626e+02,3.787147198424240742e+02
3.581422785781380185e+02,3.920823511785036430e+02
3.730186501943172743e+02,4.054499825145832119e+02
3.878950218104965302e+02,4.188176138506627808e+02
4.027713934266757860e+02,4.321852451867423497e+02
4.176477650428550419e+02,4.455528765228219186e+02
4.325241366590342977e+02,4.589205078589014875e+02
4.474005082752135536e+02,4.722881391949810563e+02
4.622768798913928094e+02,4.856557705310606252e+02
4.771532515075720653e+02,4.990234018671401941e+02
4.920296231237513211e+02,5.123910332032197630e+02
5.069059947399305770e+02,5.257586645392993887e+02
5.217823663561098329e+02,5.391262958753790144e+02
5.366587379722890319e+02,5.524939272114586402e+02
5.515351095884682309e+02,5.658615585475382659e+02
5.664114812046474299e+02,5.792291898836178916e+02
5.812878528208266289e+02,5.925968212196975173e+02
5.961642244370058279e+02,6.059644525557771431e+02
6.110405960531850269e+02,6.193320838918567688e+02
6.259169676693642259e+02,6.326997152279363945e+02
6.407933392855434249e+02,6.460673465640160202e+02
6.556697109017226239e+02,6.594349779000956460e+02
6.705460825179018229e+02,6.728026092361752717e+02
6.854224541340810219e+02,6.861702405722548974e+02
7.002988257502602210e+02,6.995378719083344095e+02
7.151751973664394200e+02,7.129055032444139215e+02
7.300515689826186190e+02,7.262731345804934335e+02
7.449279405987978180e+02,7.396407659165729456e+02
7.598043122149770170e+02,7.530083972526524576e+02
7.746806838311562160e+02,7.663760285887319696e+02
7.895570554473354150e+02,7.797436599248114817e+02
8.044334270635146140e+02,7.931112912608909937e+02
8.193097986796938130e+02,8.064789225969705058e+02
8.341861702958730120e+02,8.198465539330500178e+02
8.490625419120522110e+02,8.332141852691295298e+02
8.639389135282314101e+02,8.465818166052090419e+02
8.788152851444106091e+02,8.599494479412885539e+02
8.936916567605898081e+02,8.733170792773680660e+02
9.085680283767690071e+02,8.866847106134475780e+02
9.234443999929482061e+02,9.000523419495272037e+02
9.383207716091274051e+02,9.134199732856068294e+02
9.531971432253066041e+02,9.267876046216863415e+02
9.680735148414858031e+02,9.401552359577658535e+02
9.829498864576650021e+02,9.535228672938453656e+02
9.978262580738442011e+02,9.668904986299248776e+02
1.012702629690023400e+03,9.802581299660043896e+02
1.027579001306202599e+03,9.936257613020839017e+02
1.042455372922381912e+03,1.006993392638163414e+03
1.057331744538561225e+03,1.020361023974243039e+03
1.072208116154740537e+03,1.033728655310322665e+03
1.087084487770919850e+03,1.047096286646402177e+03
1.101960859387099163e+03,1.060463917982481689e+03
1.116837231003278475e+03,1.073831549318561201e+03
1.131713602619457788e+03,1.087199180654640713e+03
1.146589974235637101e+03,1.100566811990720225e+03
1.161466345851816186e+03,1.113934443326799737e+03
1.176342717467995271e+03,1.127302074662879477e+03
1.161874828007318911e+03,1.113493375428206718e+03
1.147406938546642550e+03,1.099684676193533960e+03
1.132939049085966190e+03,1.085875976958861202e+03
1.118471159625289829e+03,1.072067277724188443e+03
1.104003270164613468e+03,1.058258578489515685e+03
1.089535380703937108e+03,1.044449879254842926e+03
1.075067491243260747e+03,1.030641180020170168e+03
1.060599601782584386e+03,1.016832480785497410e+03
1.046131712321908026e+03,1.003023781550824651e+03
1.031663822861231665e+03,9.892150823161518929e+02
1.017195933400555418e+03,9.754063830814791345e+02
1.002728043939879171e+03,9.615976838468063761e+02
9.882601544792029244e+02,9.477889846121336177e+02
9.737922650185266775e+02,9.339802853774608593e+02
9.593243755578504306e+02,9.201715861427881009e+02
9.448564860971741837e+02,9.063628869081153425e+02
9.303885966364979367e+02,8.925541876734425841e+02
9.159207071758216898e+02,8.787454884387698257e+02
9.014528177151454429e+02,8.649367892040970673e+02
8.869849282544691960e+02,8.511280899694243089e+02
8.725170387937929490e+02,8.373193907347515506e+02
8.580491493331167021e+02,8.235106915000787922e+02
8.435812598724404552e+02,8.097019922654060338e+02
8.291133704117642083e+02,7.958932930307332754e+02
8.146454809510879613e+02,7.820845937960605170e+02
8.001775914904117144e+02,7.682758945613877586e+02
7.857097020297354675e+02,7.544671953267150002e+02
7.712418125690592206e+02,7.406584960920422418e+02
7.567739231083829736e+02,7.268497968573694834e+02
7.423060336477067267e+02,7.130410976226967250e+02
7.278381441870304798e+02,6.992323983880239666e+02
7.133702547263542328e+02,6.854236991533512082e+02
6.989023652656779859e+02,6.716149999186784498e+02
6.844344758050017390e+02,6.578063006840056914e+02
6.699665863443254921e+02,6.439976014493329330e+02
6.554986968836492451e+02,6.301889022146601746e+02
6.410308074229729982e+02,6.163802029799874163e+02
6.265629179622967513e+02,6.025715037453146579e+02
6.120950285016205044e+02,5.887628045106418995e+02
5.976271390409442574e+02,5.749541052759691411e+02
5.831592495802680105e+02,5.611454060412963827e+02
5.686913601195917636e+02,5.473367068066236243e+02
5.542234706589155167e+02,5.335280075719508659e+02
5.397555811982392697e+02,5.197193083372781075e+02
5.252876917375630228e+02,5.059106091026052923e+02
5.108198022768867759e+02,4.921019098679324770e+02
4.963519128162105289e+02,4.782932106332596618e+02
4.818840233555342820e+02,4.644845113985868466e+02
4.674161338948580351e+02,4.506758121639140313e+02
4.529482444341817882e+02,4.368671129292412161e+02
4.384803549735055412e+02,4.230584136945684008e+02
4.240124655128292943e+02,4.092497144598955856e+02
4.095445760521530474e+02,3.954410152252227704e+02
3.950766865914768005e+02,3.816323159905499551e+02
3.806087971308005535e+02,3.678236167558771399e+02
3.661409076701243066e+02,3.540149175212043247e+02
3.516730182094480597e+02,3.402062182865315094e+02
3.372051287487718128e+02,3.263975190518586942e+02
3.227372392880955658e+02,3.125888198171858789e+02
3.082693498274193189e+02,2.987801205825130637e+02
2.938014603667430720e+02,2.849714213478402485e+02
2.793335709060668250e+02,2.711627221131674332e+02
2.648656814453905781e+02,2.573540228784946180e+02
2.503977919847143596e+02,2.435453236438218028e+02
2.359299025240381411e+02,2.297366244091489875e+02
2.214620130633619226e+02,2.159279251744761723e+02
2.069941236026857041e+02,2.021192259398033571e+02
1.925262341420094856e+02,1.883105267051305418e+02
1.780583446813332671e+02,1.745018274704577266e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
1.635904552206570486e+02,1.606931282357849113e+02
